"Zeitstempel","Wie zufrieden sind Sie mit dem Tool?","Inwiefern war das Tool in Bezug auf Ihre Lernerfahrung nützlich und hilfreich?","Welches Element des Tools fanden Sie am nützlichsten?","Wie zufrieden sind Sie mit der ...? [Bedienbarkeit]","Wie zufrieden sind Sie mit der ...? [Umsetzung]","Wie zufrieden sind Sie mit der ...? [Gestaltung]","Wie zufrieden sind Sie mit der ...? [Performanz]","Würden Sie das Tool weiterempfehlen/ sich wünschen das es mehr eingesetzt wird/ weiterhin nutzen?","Zusätzliches Feedback"
"2019/11/21 2:31:47 PM MEZ","4","5","Gezieltes und schnelles Springen zu bestimmten Stellen anhand des generierten Textes.","5","4","4","5","5","Die Erkennung von Text könnte noch etwas besser sein. Ich finde das Tool so aber sehr benutzbar und Hilfreich."
"2019/11/21 3:10:05 PM MEZ","5","4","search function and quizzes","5","4","5","5","5","Schönes Tool, empfehle es weiter zu entwickeln"
"2019/11/21 3:16:06 PM MEZ","5","5","Schlagwörtern durchsuchen.","5","4","4","5","5","gute Idee und schönes Tool"
"2019/11/21 3:22:34 PM MEZ","5","5","Schlagwörtern durchsuchen","5","5","4","4","5",""
"2019/11/21 3:31:31 PM MEZ","5","5","Suchfunktion","5","5","5","5","5","Super hilfreich beim E-Learning"
"2019/11/21 4:42:46 PM MEZ","4","5","Durchsuchen eines Videos bzw. einer Vorlesung","4","4","4","2","5","Schönes Tool um verpasste Vorlesungen o.Ä. schnell und effektiv nachzuholen"
"2019/11/21 5:00:04 PM MEZ","5","5","Weiterleitung des QR-Codes - auch wenn man wieder zurückspult","5","5","5","5","5",""
"2019/11/21 5:13:50 PM MEZ","5","5","Wenn man die Aufzeichnung einer Vorlesung nocheinmal auf ein bestimmtes Thema/Schlagwort durchsuchen möchte ist dies sehr nützlich und würde sehr viel Zeit sparen, da man nicht die Stelle im Video suchen muss, wo genau das Schlagwort vorkommt.","nicht zutreffend","nicht zutreffend","5","nicht zutreffend","5",""
"2019/11/21 5:22:00 PM MEZ","4","5","Das schnelle Suchen in einem Video","4","4","2","3","5","Fänd ich sehr geil wenn jede Vorlesung sowas hätte. Damit würd man sich nicht nur die Folien angucken sondern gleich hören was der Prof dazu zu sagen hat."
"2019/11/22 12:42:12 PM MEZ","5","5","die Text suche und die Anfragen","5","5","5","5","5","Wenn dieses Tool eingesetzt wird, werde ich den Bachelor wiederholen :)"
"2019/11/22 12:47:26 PM MEZ","5","5","suche funktion","5","4","5","4","5",""
"2019/11/22 12:55:21 PM MEZ","5","3","Suchfunktion von Schlagwörter","5","4","3","5","5",""
"2019/11/22 1:34:34 PM MEZ","5","4","volltextsuche","4","4","4","5","4","ggf. mit Pfeiltasten 10s nach vorne bzw. nach hinten springen"
"2019/11/22 1:44:40 PM MEZ","4","4","In Textsuche, da es Folien obsolet macht; Bessere Einbindung von links","5","4","4","nicht zutreffend","4","Eine thematische Unterteilung des Videos in Kapitel wäre cool, bzw. eine übergreifende Textsuche."
"2019/11/22 1:52:00 PM MEZ","5","5","Suchen mit Strg+F","5","5","5","5","5",""
"2019/11/22 1:56:09 PM MEZ","4","3","Die Suchfunktion, mit dem danachfolgenden Springen auf die Richtige stelle im Video (per Klick)","4","3","4","4","4",""
"2019/11/22 2:02:49 PM MEZ","5","5","Direktverlinkung ist sehr praktisch! :)","5","5","4","5","5","Ich würde mich freuen, wenn es bald online geht, damit man es auf eigene Vorlesungen anwenden kann."
"2019/11/22 4:53:06 PM MEZ","4","5","Die Möglichkeit Video Inhalte mit Strg+f finden zu können","4","4","3","4","5",""
"2019/11/22 5:02:21 PM MEZ","4","3","Die Möglichkeit über die Kapitelfunktion direkt an die entsprechende Stelle im Video zu springen","1","2","3","2","4","Ein derartiger Player ist gerade für Lehrvideos sehr sinnvoll und ich kenn bisher keinen, der diese Funktionen bietet."
"2019/11/23 9:49:21 AM MEZ","5","4","Auto scroll","4","4","3","4","4",""
"2019/11/23 10:36:29 PM MEZ","5","5","Clever ist, dass die normale Suchfunktion des Browsers funktioniert, also man nichts neu lernen muss. Man legt direkt los.","5","4","4","5","5",""
"2019/11/23 10:42:38 PM MEZ","4","3","Kahoot","4","4","3","4","5",""
"2019/11/23 10:49:10 PM MEZ","5","4","Suchfunktion","4","4","4","3","5","geile Idee"
"2019/11/23 11:05:59 PM MEZ","4","4","Die direkte V￼erlinkung einzelner Videoinhalte zu externen Inhalten + Die Suchfunktion","4","3","2","3","4","Aus bildungswissenschaftlicher Perspektive sehe ein großes Potenzial für die Lernförderlichkeit, wenn die Videos und die dazugehörigen Stichworte didaktisch sinnvoll aufbereiten wurden."
"2019/11/25 1:16:02 PM MEZ","5","4","Volltextsuche + direkte Quizbeantwortung","5","4","3","5","5","cooles Projekt!"
"2019/11/25 2:13:23 PM MEZ","5","4","Die automatische Benachrichtigung inkl. Link","5","5","4","5","5",""
"2019/11/25 2:29:30 PM MEZ","5","5","Jump to time in video (per text)","5","5","4","5","5","super Idee mit klasse Umsetzung. Verbesserungsvorschläge: Das Scrollen funktioniert nicht so wie ""erwartet"" (mouseover window wäre super). Manchmal ist die Zusammenfassung ein bisschen sehr gibberish."
"2019/11/25 2:45:43 PM MEZ","4","5","Suche nach begriffen und sprung zur entsprechenden Folie/Stelle im Video","4","4","3","5","5","In der Zusammenfassung wird oft der erste Stichpunkt zur Überschrift und die Folienüberschrift fehlt, das ist etwas verwirrend. Was passiert wenn im Video von Folien vor und zurück gesprungen wird?"
"2019/11/25 3:07:52 PM MEZ","4","4","Das direkte Springen zu Folien mit dem Gesuchten inhalt","5","5","3","nicht zutreffend","4","Datei hochladen wäre cool"
